Feature,SHAP_mean_abs
standard__ext_source_2,0.09486839241913418
standard__ext_source_3,0.0883125461156162
standard__ext_source_1,0.03503883236196365
standard__install_payment_ratio_mean,0.02351583019574653
standard__days_birth,0.013868956325762703
log__cc_amt_drawings_current_mean,0.007037394642564817
robust__install_payment_delay_mean,0.005335218333740511
ohe__name_education_type_higher_education,0.0050432643308405195
ohe__code_gender_f,0.004438363167016413
standard__pos_months_balance_mean,0.004154777912913904
